series,TIME,DATA_VALUE
KR_industrial_production,201001,79.3
KR_industrial_production,201002,77.6
KR_industrial_production,201003,87.4
KR_industrial_production,201004,84.1
KR_industrial_production,201005,84.9
KR_industrial_production,201006,87.5
KR_industrial_production,201007,84.7
KR_industrial_production,201008,81.6
KR_industrial_production,201009,83.7
KR_industrial_production,201010,85.4
KR_industrial_production,201011,86.1
KR_industrial_production,201012,95.0
KR_industrial_production,201101,85.9
KR_industrial_production,201102,77.3
KR_industrial_production,201103,90.8
KR_industrial_production,201104,86.7
KR_industrial_production,201105,87.3
KR_industrial_production,201106,90.2
KR_industrial_production,201107,86.8
KR_industrial_production,201108,84.8
KR_industrial_production,201109,87.8
KR_industrial_production,201110,88.4
KR_industrial_production,201111,88.4
KR_industrial_production,201112,96.6
KR_industrial_production,201201,84.7
KR_industrial_production,201202,84.6
KR_industrial_production,201203,91.5
KR_industrial_production,201204,86.6
KR_industrial_production,201205,89.4
KR_industrial_production,201206,90.3
KR_industrial_production,201207,88.2
KR_industrial_production,201208,84.7
KR_industrial_production,201209,89.0
KR_industrial_production,201210,88.0
KR_industrial_production,201211,90.2
KR_industrial_production,201212,96.6
KR_industrial_production,201301,88.0
KR_industrial_production,201302,83.5
KR_industrial_production,201303,91.1
KR_industrial_production,201304,90.1
KR_industrial_production,201305,90.9
KR_industrial_production,201306,91.0
KR_industrial_production,201307,89.7
KR_industrial_production,201308,87.4
KR_industrial_production,201309,88.1
KR_industrial_production,201310,91.9
KR_industrial_production,201311,91.6
KR_industrial_production,201312,98.7
KR_industrial_production,201401,89.0
KR_industrial_production,201402,85.0
KR_industrial_production,201403,93.7
KR_industrial_production,201404,91.6
KR_industrial_production,201405,90.7
KR_industrial_production,201406,92.7
KR_industrial_production,201407,92.5
KR_industrial_production,201408,88.0
KR_industrial_production,201409,89.6
KR_industrial_production,201410,92.2
KR_industrial_production,201411,91.2
KR_industrial_production,201412,101.0
KR_industrial_production,201501,89.2
KR_industrial_production,201502,84.8
KR_industrial_production,201503,94.7
KR_industrial_production,201504,92.9
KR_industrial_production,201505,91.3
KR_industrial_production,201506,95.1
KR_industrial_production,201507,92.1
KR_industrial_production,201508,90.0
KR_industrial_production,201509,93.6
KR_industrial_production,201510,95.5
KR_industrial_production,201511,94.7
KR_industrial_production,201512,104.1
KR_industrial_production,201601,90.5
KR_industrial_production,201602,87.1
KR_industrial_production,201603,97.8
KR_industrial_production,201604,94.0
KR_industrial_production,201605,95.6
KR_industrial_production,201606,99.5
KR_industrial_production,201607,94.9
KR_industrial_production,201608,94.0
KR_industrial_production,201609,94.8
KR_industrial_production,201610,97.1
KR_industrial_production,201611,99.0
KR_industrial_production,201612,108.0
KR_industrial_production,201701,92.7
KR_industrial_production,201702,91.8
KR_industrial_production,201703,102.0
KR_industrial_production,201704,97.1
KR_industrial_production,201705,98.1
KR_industrial_production,201706,101.3
KR_industrial_production,201707,97.3
KR_industrial_production,201708,96.3
KR_industrial_production,201709,102.2
KR_industrial_production,201710,94.9
KR_industrial_production,201711,101.0
KR_industrial_production,201712,107.7
KR_industrial_production,201801,97.2
KR_industrial_production,201802,91.3
KR_industrial_production,201803,101.9
KR_industrial_production,201804,99.7
KR_industrial_production,201805,100.2
KR_industrial_production,201806,102.6
KR_industrial_production,201807,100.0
KR_industrial_production,201808,98.6
KR_industrial_production,201809,97.8
KR_industrial_production,201810,102.2
KR_industrial_production,201811,101.3
KR_industrial_production,201812,108.2
KR_industrial_production,201901,98.3
KR_industrial_production,201902,89.6
KR_industrial_production,201903,101.4
KR_industrial_production,201904,100.8
KR_industrial_production,201905,102.1
KR_industrial_production,201906,102.0
KR_industrial_production,201907,101.5
KR_industrial_production,201908,99.2
KR_industrial_production,201909,99.0
KR_industrial_production,201910,102.9
KR_industrial_production,201911,103.4
KR_industrial_production,201912,112.9
KR_industrial_production,202001,98.2
KR_industrial_production,202002,94.3
KR_industrial_production,202003,102.0
KR_industrial_production,202004,95.3
KR_industrial_production,202005,95.8
KR_industrial_production,202006,102.2
KR_industrial_production,202007,99.1
KR_industrial_production,202008,95.3
KR_industrial_production,202009,101.8
KR_industrial_production,202010,99.5
KR_industrial_production,202011,102.7
KR_industrial_production,202012,113.8
KR_industrial_production,202101,98.1
KR_industrial_production,202102,94.5
KR_industrial_production,202103,108.3
KR_industrial_production,202104,103.7
KR_industrial_production,202105,103.2
KR_industrial_production,202106,109.7
KR_industrial_production,202107,104.2
KR_industrial_production,202108,101.5
KR_industrial_production,202109,104.6
KR_industrial_production,202110,105.3
KR_industrial_production,202111,109.2
KR_industrial_production,202112,123.5
KR_industrial_production,202201,104.8
KR_industrial_production,202202,99.3
KR_industrial_production,202203,113.1
KR_industrial_production,202204,109.9
KR_industrial_production,202205,111.4
KR_industrial_production,202206,114.6
KR_industrial_production,202207,109.6
KR_industrial_production,202208,107.8
KR_industrial_production,202209,109.2
KR_industrial_production,202210,109.4
KR_industrial_production,202211,111.9
KR_industrial_production,202212,125.8
KR_industrial_production,202301,103.3
KR_industrial_production,202302,103.2
KR_industrial_production,202303,115.6
KR_industrial_production,202304,108.7
KR_industrial_production,202305,111.1
KR_industrial_production,202306,116.0
KR_industrial_production,202307,109.1
KR_industrial_production,202308,109.8
KR_industrial_production,202309,112.7
KR_industrial_production,202310,111.3
KR_industrial_production,202311,114.9
KR_industrial_production,202312,126.8
KR_industrial_production,202401,110.5
KR_industrial_production,202402,105.4
KR_industrial_production,202403,115.8
KR_industrial_production,202404,113.1
KR_industrial_production,202405,113.7
KR_industrial_production,202406,116.1
KR_industrial_production,202407,111.3
KR_industrial_production,202408,111.0
KR_industrial_production,202409,110.9
KR_industrial_production,202410,114.2
KR_industrial_production,202411,114.2
KR_industrial_production,202412,128.2
KR_industrial_production,202501,107.2
KR_industrial_production,202502,107.4
KR_industrial_production,202503,118.1
KR_industrial_production,202504,114.4
KR_industrial_production,202505,113.5
KR_industrial_production,202506,118.3
KR_industrial_production,202507,114.4
KR_industrial_production,202508,111.2
KR_industrial_production,202509,119.8
KR_industrial_production,202510,110.2
KR_industrial_production,202511,115.0
KR_industrial_production,202512,130.9
KR_gdp_real,2010Q1,7.9
KR_gdp_real,2010Q2,8.1
KR_gdp_real,2010Q3,5.8
KR_gdp_real,2010Q4,6.3
KR_gdp_real,2011Q1,5.4
KR_gdp_real,2011Q2,3.8
KR_gdp_real,2011Q3,3.1
KR_gdp_real,2011Q4,2.6
KR_gdp_real,2012Q1,2.5
KR_gdp_real,2012Q2,2.6
KR_gdp_real,2012Q3,2.5
KR_gdp_real,2012Q4,2.6
KR_gdp_real,2013Q1,2.3
KR_gdp_real,2013Q2,3.1
KR_gdp_real,2013Q3,3.7
KR_gdp_real,2013Q4,4.0
KR_gdp_real,2014Q1,3.8
KR_gdp_real,2014Q2,3.6
KR_gdp_real,2014Q3,3.0
KR_gdp_real,2014Q4,2.6
KR_gdp_real,2015Q1,2.7
KR_gdp_real,2015Q2,1.9
KR_gdp_real,2015Q3,3.5
KR_gdp_real,2015Q4,3.6
KR_gdp_real,2016Q1,3.0
KR_gdp_real,2016Q2,3.9
KR_gdp_real,2016Q3,3.0
KR_gdp_real,2016Q4,2.8
KR_gdp_real,2017Q1,3.5
KR_gdp_real,2017Q2,3.0
KR_gdp_real,2017Q3,4.1
KR_gdp_real,2017Q4,3.2
KR_gdp_real,2018Q1,3.2
KR_gdp_real,2018Q2,3.3
KR_gdp_real,2018Q3,2.6
KR_gdp_real,2018Q4,3.5
KR_gdp_real,2019Q1,1.9
KR_gdp_real,2019Q2,2.4
KR_gdp_real,2019Q3,2.2
KR_gdp_real,2019Q4,2.7
KR_gdp_real,2020Q1,1.2
KR_gdp_real,2020Q2,-2.6
KR_gdp_real,2020Q3,-0.8
KR_gdp_real,2020Q4,-0.5
KR_gdp_real,2021Q1,2.7
KR_gdp_real,2021Q2,7.0
KR_gdp_real,2021Q3,4.6
KR_gdp_real,2021Q4,4.5
KR_gdp_real,2022Q1,3.6
KR_gdp_real,2022Q2,3.3
KR_gdp_real,2022Q3,3.7
KR_gdp_real,2022Q4,1.2
KR_gdp_real,2023Q1,1.1
KR_gdp_real,2023Q2,0.7
KR_gdp_real,2023Q3,1.6
KR_gdp_real,2023Q4,2.5
KR_gdp_real,2024Q1,3.6
KR_gdp_real,2024Q2,2.6
KR_gdp_real,2024Q3,1.6
KR_gdp_real,2024Q4,1.1
KR_gdp_real,2025Q1,0.2
KR_gdp_real,2025Q2,0.7
KR_gdp_real,2025Q3,2.1
KR_gdp_real,2025Q4,1.6
KR_gdp_real,2026Q1,3.8
